Ammonia,Benzene,Alcohol,CO,Methane,CNG,LPG,Butane,Hydrogen,Smoke,Propane,AQI
41.56,3.86,8.1,6.45,7.71,9.76,4.74,6.56,7.99,35.7,2.99,143.27
39.29,2.32,9.46,7.9,1.61,6.7,0.28,2.63,9.89,175.77,6.27,197.5
31.26,0.17,4.95,1.4,7.05,2.91,0.45,2.03,4.2,79.12,6.16,105.75
8.41,3.26,8.9,13.84,5.84,5.62,5.17,7.33,8.35,15.59,8.59,97.39
5.28,4.39,8.56,13.05,4.53,3.86,2.47,9.42,8.37,108.53,6.85,136.43
38.41,0.72,1.57,7.76,6.78,5.99,4.24,7.08,4.77,32.41,1.9,90.26
9.05,3.9,3.92,19.23,1.32,0.21,4.94,9.39,4.54,161.58,7.94,191.4
36.12,2.7,5.02,2.34,2.25,3.12,5.89,6.72,4.98,113.97,0.02,148.73
0.13,3.88,9,3.84,5.53,3.37,3.12,6.29,3.04,187.03,0.97,172.47
24.86,0.19,3.06,6.6,5.89,8.7,2,2.78,9.18,134.97,9.24,145.31
30.4,3.9,5.96,0,2.32,7.78,9.19,5.52,5.58,41.21,9.43,125.35
30.94,1.94,3.37,10.6,7.96,5.24,6.47,1.48,5.16,110.97,9.69,163.11
17.26,2.63,3.28,18.51,1.95,2.77,0.88,6.31,7.88,17.68,3.79,102.64
1.26,1.45,8.03,13.81,3.96,6.7,6.2,3.65,1.18,182.05,7.99,160.05
3.28,1.18,9.49,19.3,3.31,4.97,6.46,0.96,0.35,52.45,8.91,102.39
34.39,0.16,0.39,3,1.01,5.67,7.26,2.47,2.29,93.64,0.01,104.19
10.9,3.44,0.29,9.85,9.72,6.72,9.4,6.65,6.95,118.68,2.48,144.35
21.64,3.6,1.29,19.88,0.44,0.06,9.59,6.49,4.34,10.72,7.29,91.96
32.85,2.82,2.94,1.27,9.65,8.52,2.42,7.06,2.79,133.2,6.85,151.71
32.12,0.83,1.59,0.63,5.86,0.17,3.06,5.39,3.39,143.6,9.47,156.38
36.54,4.46,3.6,13.05,0.14,8.46,0.85,3.42,7.56,113.93,9.67,153.24
6.81,4.1,7.76,12.73,3.17,6.53,1.43,3.76,3.47,104.47,8.72,121.56
30.99,1.27,4.71,13.36,4.01,4.98,4.24,0.21,1.83,134.26,2.63,154.67
42.61,1.21,5.54,0.99,9.51,2.23,0.25,5.31,8.41,26.13,3.13,83.24
5.77,4.31,3.17,15.25,1.56,4.53,6.52,4.89,2.74,141.57,6.63,166.89
16.45,3.28,3.69,6.18,5.94,3.97,4.73,3.98,6.01,142.13,2.38,159.81
4.96,2.65,3.84,14.01,3.37,6.73,5.32,1.6,8.29,35.19,0.65,81.98
6.54,1.45,9.12,16.3,5.39,9.46,3.92,5.41,8.72,158.53,2.6,179.88
4.15,1.06,0.57,1.65,4.76,5.37,3.09,5.03,9.11,98.34,9.55,118.6
27.54,4.66,9.37,7.83,9.37,1.27,7.46,2,4.69,190.31,9.46,213.12
47.49,3.94,8.4,3.83,7.65,1.93,4,5.33,0.41,67.84,8.97,120.61
8.15,3.68,8.37,4.22,7.36,1.4,8.46,3.33,7.84,119.44,0.38,116.53
15.98,2.69,9.22,8.05,4.21,4.4,4.61,4.41,5.3,197.71,0.19,185.62
39.59,2.57,1.35,1.9,8.73,2.35,0.69,3.03,7.68,137.35,1.83,149.36
23.82,0.65,3.24,4.24,9.25,4.39,1.27,7.49,3.84,64.62,4.81,104.74
12.46,2.19,0.56,11.11,8.11,7.42,5.25,1.03,7.98,186.87,5.59,180.58
23.52,4.59,3.89,15.48,8.63,2.37,8.6,0.43,6.45,186.89,9.18,218.02
