Ammonia,Benzene,CNG,CO,Hydrogen,LPG,Smoke
13.88902,9.22458,27.49427,18.84696,6.39008,13.28871,8.45645
13.88902,9.22458,27.49427,18.84696,6.39008,13.28871,8.43723
13.88902,9.22458,27.49427,18.84696,6.39008,13.28871,8.45645
13.88902,9.22458,27.49427,18.84696,6.37193,13.28871,8.43723
13.88902,9.22458,27.49427,18.84696,6.37193,13.2585,8.45645
13.88902,9.22458,27.49427,18.84696,6.37193,13.28871,8.43723
13.88902,9.22458,27.49427,18.84696,6.39008,13.28871,8.43723
13.91209,9.24502,27.49427,18.87433,6.40822,13.31888,8.47565
13.86592,9.20413,27.49427,18.84696,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.84696,6.39008,13.28871,8.43723
13.88902,9.22458,27.49427,18.84696,6.39008,13.2585,8.43723
13.88902,9.22458,27.49427,18.84696,6.37193,13.28871,8.43723
13.86592,9.22458,27.49427,18.84696,6.39008,13.28871,8.43723
13.86592,9.20413,27.49427,18.84696,6.37193,13.2585,8.43723
13.86592,9.22458,27.49427,18.84696,6.37193,13.2585,8.43723
13.91209,9.24502,27.49427,18.87433,6.40822,13.31888,8.47565
13.88902,9.22458,27.49427,18.87433,6.37193,13.2585,8.43723
13.86592,9.22458,27.49427,18.84696,6.37193,13.2585,8.43723
13.86592,9.22458,27.49427,18.87433,6.37193,13.2585,8.43723
13.86592,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.84278,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.18366,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.20413,27.54848,18.81956,6.37193,13.2585,8.43723
13.84278,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.20413,27.49427,18.81956,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.40822,13.31888,8.45645
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.86592,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.91209,9.24502,27.49427,18.84696,6.39008,13.28871,8.45645
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.35378,13.2585,8.41799
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.41799
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.37193,13.22827,8.41799
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.35378,13.2585,8.41799
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.35378,13.22827,8.41799
13.88902,9.22458,27.49427,18.81956,6.37193,13.2585,8.41799
13.88902,9.22458,27.49427,18.81956,6.35378,13.2585,8.41799
13.88902,9.22458,27.49427,18.81956,6.35378,13.2585,8.43723
13.88902,9.22458,27.49427,18.81956,6.35378,13.22827,8.41799
13.88902,9.22458,27.49427,18.81956,6.35378,13.2585,8.41799
